"db_einfuegemarke","key_hochschule","ueberkey","kurz_hochschule","druck_hochschule","text_hochschule","bund_hochschule","key_von","key_bis","habil_recht","land_hochschule","art","betriebsnummer","haupt_neben_kz","plz","ort"
,"0011  ",,GHS Kassel,Gesamthochschule Kassel  ,Gesamthochschule Kassel                                                                                                                                                                                                                                        ,"0011",,,J,,,,,,
,"0012  ",,,"U Kassel, Witzenhausen   ","U Kassel, Abt. Witzenhausen                                                                                                                                                                                                                                    ","0012",,,,,,,,,
,"0013  ",,,U Kassel Kunst           ,"U Kassel, Abt. Kassel (Kunsthochschule)                                                                                                                                                                                                                        ","0013",,,,,,,,,
,"0014  ",,,"U Kassel, (Priv.H)       ","U Kassel, Abt. Kassel (International Management School) (Priv.H)                                                                                                                                                                                               ","0014",,,,,,,,,
,"0020  ",,,APOLLON Bremen           ,"APOLLON H der Gesundheitswirtschaft, Bremen (Priv. FH)                                                                                                                                                                                                         ","0020",,,,,,,,,
,"0030  ",,MacroMe M ,Macromedia München       ,"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus München (Priv. FH)                                                                                                                                                                       ","0030",,,N,,,,,,
,"0032  ",,MacroMe B ,Macromedia Berlin        ,"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Berlin (Priv. FH)                                                                                                                                                                        ","0032",,,N,,,,,,
,"0033  ",,MacroMe HH,Macromedia Hamburg       ,"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Hamburg (Priv. FH)                                                                                                                                                                       ","0033",,,N,,,,,,
,"0034  ",,MacroMe K ,Macromedia Köln          ,"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Köln (Priv. FH)                                                                                                                                                                          ","0034",,,N,,,,,,
,"0035  ",,MacroMe S ,Macromedia Stuttgart     ,"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Stuttgart (Priv. FH)                                                                                                                                                                     ","0035",,,N,,,,,,
,"0036  ",,MacroMe FR,HS Macromedia Freib i.Br.,"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Freiburg i. Br. (Priv. FH)                                                                                                                                                               ","0036",,,N,,,,,,
,"0037  ",,MacroMe L ,HS MacroMe Leipzig       ,"Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Leipzig (Priv. FH)                                                                                                                                                                       ","0037",,,N,,,,,,
,"0038  ",,HS MacroM ,"HS MacroM S, Frnkfrt     ","Hochschule Macromedia für angewandte Wissenschaften Stuttgart, Campus Frankfurt a.M. (Priv. FH)                                                                                                                                                                ","0038",,,N,,,,,,
,"0040  ",,,Diakonie Bielefeld-Bethel,"FH der Diakonie, Bielefeld-Bethel                                                                                                                                                                                                                              ","0040",,,,,,,,,
,"0050  ",,,Management Heilbronn     ,German Graduate School of Management & Law Heilbronn (Priv. FH)                                                                                                                                                                                                ,"0050",,"2022-12-31",,,,,,,
,"0060  ",,,Bundes Arbeit Mannheim   ,Hochschule für angewandte Wissenschaften der Bundesagentur für Arbeit in Mannheim (FH)                                                                                                                                                                         ,"0060",,,,,,,,,
,"0061  ",,,Bundes Arbeit Schwerin   ,Hochschule für angewandte Wissenschaften der Bundesagentur für Arbeit in Schwerin (FH)                                                                                                                                                                         ,"0061",,,,,,,,,
