"db_einfuegemarke";"key_anredetitel";"ueberkey";"kurz_anredetitel_m";"kurz_anredetitel_w";"druck_anredetitelm";"druck_anredetitelw";"text_anredetitel_m";"text_anredetitel_w";"key_von";"key_bis";"brief_anredetitelm";"brief_anredetitelw";"obj_guid";"lock_version";"id";"k_language_id";"sortorder"
;"016 ";;Dipl.-Betr;Dipl.-Betr;Dipl.-Betriebswirt       ;Dipl.-Betriebswirtin     ;Dipl.-Betriebswirt                                                                                                                                                                                                                                             ;Dipl.-Betriebswirtin                                                                                                                                                                                                                                           ;;;;;"0";0;1;;
;"017 ";;Dipl.-Volk;Dipl.-Volk;Dipl.-Volkswirt          ;Dipl.-Volkswirtin        ;Dipl.-Volkswirt                                                                                                                                                                                                                                                ;Dipl.-Volkswirtin                                                                                                                                                                                                                                              ;;;;;"0";0;2;;
;"026 ";;Dipl.-Ing.;Dipl.-Ing.;Dipl.-Ing.               ;Dipl.-Ing.               ;Dipl.-Ing.                                                                                                                                                                                                                                                     ;Dipl.-Ing.                                                                                                                                                                                                                                                     ;;;;;"0";0;3;;
;"027 ";;Dipl.-Ing.;Dipl.-Ing.;Dipl.-Ing. (FH)          ;Dipl.-Ing. (FH)          ;Dipl.-Ing. (FH)                                                                                                                                                                                                                                                ;Dipl.-Ing. (FH)                                                                                                                                                                                                                                                ;;;;;"0";0;4;;
;"028 ";;Dipl.-Kauf;Dipl.-Kauf;Dipl.-Kauffrau           ;Dipl.-Kauffrau           ;Dipl.-Kauffrau                                                                                                                                                                                                                                                 ;Dipl.-Kauffrau                                                                                                                                                                                                                                                 ;;;;;"0";0;5;;
;"029 ";;Diplom-Kau;Diplom-Kau;Diplom-Kaufmann          ;Diplom-Kauffrau          ;Diplom-Kaufmann                                                                                                                                                                                                                                                ;Diplom-Kauffrau                                                                                                                                                                                                                                                ;;;;;"0";0;6;;
;"035 ";;Dipl.-Päda;Dipl.-Päda;Dipl.-Pädagoge           ;Dipl.-Pädagogin          ;Dipl.-Pädagoge                                                                                                                                                                                                                                                 ;Dipl.-Pädagogin                                                                                                                                                                                                                                                ;;;;;"0";0;7;;
;"067 ";;Dipl.-Sozi;Dipl.-Sozi;Dipl.-Sozialarbeiter     ;Dipl.-Sozialarbeiterin   ;Dipl.-Sozialarbeiter                                                                                                                                                                                                                                           ;Dipl.-Sozialarbeiter                                                                                                                                                                                                                                           ;;;;;"0";0;8;;
;"043 ";;Dipl.-Verw;Dipl.-Verw;Dipl.-Verw.-Wirt         ;Dipl.-Verw.-Wirt         ;Dipl.-Verw.-Wirt                                                                                                                                                                                                                                               ;Dipl.-Verw.-Wirt                                                                                                                                                                                                                                               ;;;;;"0";0;9;;
;"051 ";;Diplom-Phy;Diplom-Phy;Diplom-Physiker          ;Diplom-Physiker          ;Diplom-Physiker                                                                                                                                                                                                                                                ;Diplom-Physiker                                                                                                                                                                                                                                                ;;;;;"0";0;10;;
;"052 ";;Dipl.-Info;Dipl.-Info;Dipl.-Informatiker       ;Dipl.-Informatikerin     ;Dipl.-Informatiker                                                                                                                                                                                                                                             ;Dipl.-Informatikerin                                                                                                                                                                                                                                           ;;;;;"0";0;11;;
;"053 ";;Dipl.-Stat;Dipl.-Stat;Dipl.-Statistiker        ;Dipl.-Statistikerin      ;Dipl.-Statistiker                                                                                                                                                                                                                                              ;Dipl.-Statistikerin                                                                                                                                                                                                                                            ;;;;;"0";0;12;;
;"054 ";;Dipl.-Info;Dipl.-Info;Dipl.-Informatiker (FH)  ;Dipl.-Informatikerin (FH);Dipl.-Informatiker (FH)                                                                                                                                                                                                                                        ;Dipl.-Informatikerin (FH)                                                                                                                                                                                                                                      ;;;;;"0";0;13;;
;"058 ";;Dr.       ;Dr.       ;Dr.                      ;Dr.                      ;Dr.                                                                                                                                                                                                                                                            ;Dr.                                                                                                                                                                                                                                                            ;;;;;"0";0;14;;
